##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	1_2015-04-01_vendors-sort-downsample.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10074315
Sequences flagged as poor quality	0
Sequence length	23-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	80-81	0.16728746355428825
1106	82-83	0.1965408305528129
1106	84-85	0.17600902756034742
1106	86-87	0.2005089293449842
1106	88-89	0.16930293944569286
1106	90-91	0.1319761542229756
1106	92-93	0.18100141993707553
1106	94-95	0.20410990510665528
1106	96-97	0.15508682662586182
1106	98-99	0.16151426204762487
1106	100-101	0.16927196841658798
1107	1	0.023138018691980733
1107	2	0.02209510957411709
1107	3	-0.004535074936086403
1107	4	0.050464282965201335
1107	5	-0.0038149805303859807
1107	6	0.01156872502726003
1107	7	0.015917998309866732
1107	8	0.004157722114072726
1107	9	-0.04263146282401209
1107	10-11	0.03144098463771883
1107	12-13	0.009002203225087158
1107	14-15	-0.010297397833937794
1107	16-17	0.034315976668658266
1107	18-19	-0.007785737664775638
1107	20-21	0.034417362409740804
1107	22-23	0.046659576048732276
1107	24-25	0.03803650340302056
1107	26-27	0.010601749220725765
1107	28-29	-0.020762576007101075
1107	30-31	-0.011601642020522718
1107	32-33	0.011810056113311873
1107	34-35	-0.03629059488217479
1107	36-37	0.013399323722936174
1107	38-39	0.007616052438109477
1107	40-41	0.01561416974751495
1107	42-43	-0.028001663654237063
1107	44-45	-0.02817385063730171
1107	46-47	-0.03916350421700798
1107	48-49	-0.03977899689028419
1107	50-51	-0.08618427833953746
1107	52-53	-0.061856113393830015
1107	54-55	-0.063883563036498
1107	56-57	-0.03543037037528052
1107	58-59	-0.0528225121418231
1107	60-61	-0.01886918273924465
1107	62-63	-0.06367458773655699
1107	64-65	-0.0631367239120948
1107	66-67	-2.9923021686073525E-4
1107	68-69	-0.029162783916802937
1107	70-71	-0.00602681876863187
1107	72-73	-0.02461324957612021
1107	74-75	-0.02554647647166064
1107	76-77	-0.05678795545958337
1107	78-79	-0.009994333878047712
1107	80-81	0.029691501874218318
1107	82-83	0.04201438546544267
1107	84-85	0.011258844035538118
1107	86-87	-0.008248369664578092
1107	88-89	0.032480752860358564
1107	90-91	0.0039813119895129034
1107	92-93	0.008784677330908153
1107	94-95	0.017683913856906486
1107	96-97	0.024192467115923932
1107	98-99	0.02996338487193384
1107	100-101	0.01297065189790203
1108	1	0.01913255658752888
1108	2	0.027087104562902198
1108	3	0.022096305182358833
1108	4	0.048302228939093084
1108	5	0.061456607559776444
1108	6	0.06333601606821304
1108	7	0.06779311000340016
1108	8	0.10187053744700592
1108	9	0.0950041887920321
1108	10-11	0.07716294127482826
1108	12-13	0.08788981310659238
1108	14-15	0.09079800229326906
1108	16-17	0.09564735067076668
1108	18-19	0.06346881081137212
1108	20-21	0.07484895886335607
1108	22-23	0.086086526069451
1108	24-25	0.07194503287237808
1108	26-27	0.11279876480357132
1108	28-29	0.07310723283136866
1108	30-31	0.05798028575868841
1108	32-33	0.07299238225544258
1108	34-35	0.07250582590049248
1108	36-37	0.05303975213614365
1108	38-39	0.08534618251135839
1108	40-41	0.09574629975601567
1108	42-43	0.06779544009184946
1108	44-45	0.09875035486258099
1108	46-47	0.0828523649944728
1108	48-49	0.08337930897057078
1108	50-51	0.09149186049615565
1108	52-53	0.0753753298247517
1108	54-55	0.06427188020855823
1108	56-57	0.06261339620296269
1108	58-59	0.07589957527547853
1108	60-61	0.10773623671470745
1108	62-63	0.043673147436763315
1108	64-65	0.048696372169843016
1108	66-67	0.03826508077813884
1108	68-69	0.05356046898081246
1108	70-71	0.016305806514942844
1108	72-73	-0.009764980401079981
1108	74-75	-0.021040559724340824
1108	76-77	0.001967000998135404
1108	78-79	0.0023545956066897133
1108	80-81	0.058448594787058994
1108	82-83	0.046862079118831446
1108	84-85	0.03459075048323257
1108	86-87	0.09126028761884442
1108	88-89	0.09478725120047926
1108	90-91	0.0857931041707829
1108	92-93	0.08308643986916309
1108	94-95	0.05512034261311527
